feature,importance_mean,importance_std
checking_status,0.09161904761904757,0.027923415267144626
credit_history,0.032238095238095246,0.0164501066583258
credit_amount,0.030654761904761886,0.00706048736698893
installment_commitment,0.019547619047619046,0.010828334796593592
duration,0.01785714285714283,0.008331292267049692
purpose,0.014999999999999947,0.006588186018270742
savings_status,0.0044523809523809525,0.00822552715952934
foreign_worker,0.004023809523809496,0.0017364636830204535
age,0.003273809523809501,0.001376274919142694
own_telephone,0.0015238095238095273,0.003922722919355997
other_parties,0.0005357142857142505,0.003629000255875295
personal_status,0.0005357142857142394,0.010506348636800718
housing,-0.00032142857142860584,0.004766084475173489
property_magnitude,-0.0014761904761904864,0.005839452572733692
employment,-0.00279761904761906,0.004666681851287233
existing_credits,-0.0028690476190476157,0.0042349674118688976
residence_since,-0.003130952380952401,0.0013893933324295074
num_dependents,-0.0043571428571428485,0.0026996262443921026
job,-0.007559523809523816,0.0024375708606479696
other_payment_plans,-0.009464285714285725,0.004844887082172522
