threshold,attribute,group,n,actual_bad_risk_rate,high_risk_flag_rate,favourable_outcome_rate,precision_bad_risk,recall_bad_risk,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives
default_0_50,gender_group,female,61,0.32786885245901637,0.2459016393442623,0.7540983606557377,0.6,0.45,0.14634146341463414,0.55,35,6,11,9
default_0_50,gender_group,male,139,0.28776978417266186,0.19424460431654678,0.8057553956834532,0.6296296296296297,0.425,0.10101010101010101,0.575,89,10,23,17
selected_0.16,gender_group,female,61,0.32786885245901637,0.7540983606557377,0.24590163934426235,0.41304347826086957,0.95,0.6585365853658537,0.05,14,27,1,19
selected_0.16,gender_group,male,139,0.28776978417266186,0.697841726618705,0.302158273381295,0.35051546391752575,0.85,0.6363636363636364,0.15,36,63,6,34
default_0_50,age_group,18-27,60,0.4,0.23333333333333334,0.7666666666666666,0.6428571428571429,0.375,0.1388888888888889,0.625,31,5,15,9
default_0_50,age_group,28-37,64,0.3125,0.25,0.75,0.6875,0.55,0.11363636363636363,0.45,39,5,9,11
default_0_50,age_group,38-47,37,0.24324324324324326,0.13513513513513514,0.8648648648648649,0.4,0.2222222222222222,0.10714285714285714,0.7777777777777778,25,3,7,2
default_0_50,age_group,48+,39,0.1794871794871795,0.1794871794871795,0.8205128205128205,0.5714285714285714,0.5714285714285714,0.09375,0.42857142857142855,29,3,3,4
selected_0.16,age_group,18-27,60,0.4,0.7833333333333333,0.21666666666666667,0.44680851063829785,0.875,0.7222222222222222,0.125,10,26,3,21
selected_0.16,age_group,28-37,64,0.3125,0.6875,0.3125,0.4318181818181818,0.95,0.5681818181818182,0.05,19,25,1,19
selected_0.16,age_group,38-47,37,0.24324324324324326,0.7297297297297297,0.2702702702702703,0.2962962962962963,0.8888888888888888,0.6785714285714286,0.1111111111111111,9,19,1,8
selected_0.16,age_group,48+,39,0.1794871794871795,0.6410256410256411,0.3589743589743589,0.2,0.7142857142857143,0.625,0.2857142857142857,12,20,2,5
default_0_50,foreign_worker_group,no,6,0.16666666666666666,0.16666666666666666,0.8333333333333334,1.0,1.0,0.0,0.0,5,0,0,1
default_0_50,foreign_worker_group,yes,194,0.30412371134020616,0.211340206185567,0.788659793814433,0.6097560975609756,0.423728813559322,0.11851851851851852,0.576271186440678,119,16,34,25
selected_0.16,foreign_worker_group,no,6,0.16666666666666666,0.5,0.5,0.3333333333333333,1.0,0.4,0.0,3,2,0,1
selected_0.16,foreign_worker_group,yes,194,0.30412371134020616,0.7216494845360825,0.27835051546391754,0.37142857142857144,0.8813559322033898,0.6518518518518519,0.11864406779661017,47,88,7,52
